group,cond,RQI,Phi_z,Syn_z
A,ses-1,0.43906125303149984,-0.27417307225853055,0.7132343252900304
A,ses-1,0.9761694300081829,-0.18437282119110773,1.1605422511992907
A,ses-1,-0.3681500626993437,-0.18437282119110882,-0.18377724150823488
A,ses-1,-0.7261668842767343,-0.802089699745798,0.0759228154690638
A,ses-1,-0.40044792981477545,-0.8701201929786941,0.4696722631639187
A,ses-1,-0.8564547406058498,-0.8701201929786941,0.01366545237284435
A,ses-1,-0.14354738022177446,-0.3558096641380046,0.21226228391623012
A,ses-1,-1.3802459640062699,-1.9722141833515943,0.5919682193453244
A,ses-1,-1.3316858263251736,-1.0143448386324307,-0.3173409876927428
A,ses-1,-3.47039062721251,-0.48098577168653195,-2.989404855525978
A,ses-1,-5.702700813911142,-2.0810629725242262,-3.621637841386916
A,ses-1,-2.5543907404329547,-1.1177511883464293,-1.4366395520865252
A,ses-1,-1.0811645239057812,-0.1843728211911099,-0.8967917027146712
A,ses-1,-0.12222442622841642,-0.1843728211911099,0.062148394962693476
A,ses-1,-0.9479301218797109,-1.0143448386324307,0.06641471675271982
A,ses-1,-0.8197444775463003,-0.48098577168653195,-0.3387587058597684
A,ses-1,-1.536189788878667,-1.1177511883464293,-0.4184386005322379
A,ses-1,-2.7269425506429807,-2.2035178603434376,-0.5234246902995431
A,ses-1,-0.8835306620746597,-0.8701201929786941,-0.013410469095965568
A,ses-1,-0.8097992617602653,-0.842907995685535,0.03310873392526966
A,ses-1,-1.5521459183820334,-0.870120192978693,-0.6820257254033403
A,ses-1,-1.3094262376012906,-0.3367611260327942,-0.9726651115684964
A,ses-1,-1.6874809206780597,-0.9653628835047472,-0.7221180371733125
A,ses-1,-2.8900596564648953,-0.23063355658947723,-2.659426099875418
A,ses-1,-6.226676154396345,-0.23879721577742488,-5.98787893861892
A,ses-1,-7.248694588625332,-1.0633267937601143,-6.1853677948652175
A,ses-1,-3.156518857139817,-1.1449633856395873,-2.0115554715002295
A,ses-1,-0.6872794119607506,-1.0143448386324307,0.3270654266716801
A,ses-1,-0.7313634305251151,-1.0143448386324307,0.2829814081073157
A,ses-1,-1.298355666883843,-0.842907995685535,-0.45544767119830804
A,ses-1,-0.8857362768572936,-1.0143448386324307,0.1286085617751372
A,ses-1,-1.4299983307706192,-1.1177511883464293,-0.31224714242419005
A,ses-1,-0.7559970106866991,-0.1843728211911099,-0.5716241894955892
A,ses-1,-0.21367755739404012,-0.18437282119110882,-0.02930473620293131
A,ses-1,-1.5825926030234125,-1.0143448386324307,-0.5682477643909817
A,ses-1,1.0805717532114893,0.27823453279257765,0.8023372204189116
A,ses-1,-0.16118035803232578,-0.48098577168653195,0.31980541365420617
A,ses-1,-2.440125676734602,-0.8701201929786941,-1.5700054837559076
A,ses-1,-1.3351272651557164,-0.1843728211911099,-1.1507544439646065
A,ses-1,-1.1268272158106114,-1.0143448386324307,-0.1124823771781806
A,ses-1,-1.7656503510517438,-1.5912434212473807,-0.1744069298043631
A,ses-1,-1.3811026400098156,-0.48098577168653195,-0.9001168683232836
A,ses-1,0.18901741104845196,-0.1746541793006898,0.36367159034914176
A,ses-1,-0.6246394085462541,-1.1449633856395873,0.5203239770933332
A,ses-1,0.06721343372686217,-0.2877791709051095,0.3549926046319717
A,ses-1,0.9994081342193996,-0.1843728211911099,1.1837809554105094
A,ses-1,-0.10961570129219703,-0.1843728211911099,0.07475711989891287
A,ses-1,-1.140645710872501,-0.31499136819826756,-0.8256543426742335
A,ses-1,-0.9183760630869748,-0.48098577168653195,-0.43739029140044294
A,ses-1,-0.1700472358233972,-0.5081979689796899,0.33815073315629274
A,ses-1,0.922338962426581,-1.1177511883464293,2.0400901507730103
A,ses-1,0.8047084142475389,-0.45377357439337285,1.2584819886409118
A,ses-1,-0.07685612210996928,-0.48098577168653195,0.40412964957656267
A,ses-1,0.1651869022900861,0.25102233549942177,-0.08583543320933568
A,ses-1,0.15567488595371132,0.25102233549942177,-0.09534744954571045
A,ses-1,0.07122432569416198,0.27823453279257765,-0.20701020709841567
A,ses-1,0.7140130529567235,0.21564647901831613,0.4983665739384074
A,ses-1,0.18467088623212263,-0.35036722467937215,0.5350381109114948
A,ses-1,-1.2621383974048586,-1.0143448386324307,-0.24779355877242787
A,ses-1,-2.075507983501523,-1.5368190266610657,-0.5386889568404573
A,ses-1,-0.14044041399186857,-1.0143448386324307,0.8739044246405622
A,ses-1,1.6234871461690412,0.5631851130195099,1.0603020331495312
A,ses-1,1.0096485227781657,-0.18437282119110882,1.1940213439692746
A,ses-1,-0.31997014727585016,-0.8701201929786941,0.550150045702844
A,ses-1,-0.960387615262001,-1.0606055740307982,0.10021795876879724
A,ses-1,-0.9012257542122297,-0.9653628835047451,0.06413712929251533
A,ses-1,-0.7572088389224327,-1.3408912061503229,0.5836823672278901
A,ses-1,-0.4684666908182379,-1.082375331865326,0.6139086410470881
A,ses-1,0.5555246145866299,-0.34220356549142666,0.8977281800780565
A,ses-1,1.0207024367327129,0.06325817417663183,0.957444262556081
A,ses-1,-0.15702501633241855,0.2374162368528417,-0.39444125318526024
A,ses-1,-0.5856768158729542,-0.15716062389795188,-0.42851619197500224
A,ses-1,-2.023402385964103,-0.9599204440461137,-1.0634819419179893
A,ses-1,-2.8467161364981393,-2.0946690711708054,-0.752047065327334
A,ses-1,-2.1767722707294,-1.0143448386324307,-1.1624274320969692
A,ses-1,-1.6666114307949966,-0.1843728211911099,-1.4822386096038866
A,ses-1,-0.11761854573948166,-0.5245252873555841,0.40690674161610246
A,ses-1,-0.6452447811560499,-1.5368190266610657,0.8915742455050158
A,ses-1,-0.9672423387976405,-1.4960007307213277,0.5287583919236871
A,ses-1,0.8213391652765465,1.018406299166478,-0.1970671338899314
A,ses-1,-2.1591305664211498,-0.2877791709051095,-1.8713513955160404
A,ses-1,-2.257027201641165,-1.1177511883464293,-1.1392760132947357
A,ses-1,-0.8532497063093842,-0.27417307225853055,-0.5790766340508536
A,ses-1,-2.5976130588337143,-0.18437282119110773,-2.4132402376426065
A,ses-1,-1.8027335656673416,-0.18437282119110882,-1.6183607444762327
A,ses-1,-0.0575453952911813,-0.5245252873555841,0.4669798920644028
